アイヌ系	アイヌケイ
合いの子	アイノコ
青姦	アオカン
明盲	メイモウ
当て馬	アテウマ
アメ公	アメコウ
アル中	アルナカ
按摩	アンマ
イカサマ	イカサマ
躄	ヘキ
いざり	イザリ
イザリ	イザリ
イタ公	イタコウ
犬殺し	イヌコロシ
移民	イミン
インディアン	インディアン
淫売	インバイ
ウンコ	ウンコ
うんこ	ウンコ
エスキモー	エスキモー
穢多	エタ
えた	エタ
オールドミス	オールドミス
沖仲仕	オキナカシ
唖	オシ
落人部落	ラクニンブラク
落ちこぼれ	オチコボレ
おまんこ	オマンコ
オマンコ	オマンコ
おめこ	オメコ
オメコ	オメコ
おわい屋	オワイヤ
隠坊	インボウ
かさっかき	カサッカキ
片親	カタオヤ
片手落ち	カタテオチチ
片目	カタメ
片端	カタハシ
がちゃ目	ガチャメ
カッペ	カッペ
皮被り	カワコウムリ
河原乞食	カワラコジキ
姦通	カンツウ
奇形児	キケイジ
キ印	キイン
気違い	キチガイ
給仕	キュウジ
狂気	キョウキ
狂女	キョウオンナ
狂人	キョウジン
苦力	クーリー
愚鈍	グドン
汲み取り屋	クミトリヤ
黒んぼ	クロンボ
下女	シタオンナ
毛唐	ケトウ
下男	ゲナン
ゲンナマ	ゲンナマ
強姦	ゴウカン
後進国	コウシンコク
紅毛人	コウモウニン
黒人	コクジン
こけ	コケ
孤児院	コジイン
コロシ	コロシ
サツ	サツ
サラ金	サラキン
三国人	ミクニニン
三助	サンジョ
色盲	シキモウ
支那	シナ
自閉症	ジヘイショウ
シマ	シマ
ジャップ	ジャップ
情夫	ジョウフ
情婦	ジョウフ
女給	オンナキュウ
植物人間	ショクブツニンゲン
女傑	ジョケツ
女工	ジョコウ
処女	ショジョ
女中	ジョチュウ
職工	ショッコウ
死ね	シネ
しらっこ	シラッコ
尻拭い	シリヌグイ
心障児	ココロショウジ
心障者	ココロショウモノ
スケ	スケ
すけこまし	スケコマシ
ずらかる	ズラカル
精神異常	セイシンイジョウ
精神分裂病	セイシンブンレツビョウ
精薄	セイハク
傴僂	セムシ
せむし	セムシ
鮮人	センニン
潜水夫	センスイオット
せんずり	センズリ
センズリ	センズリ
線路工夫	センロクフウ
掃除婦	ソウジフ
掃除夫	ソウジオット
雑役夫	ザツエキオット
第三国	ダイサンゴク
知恵遅れ	チエオクレ
近目	キンメ
朝鮮人	チョウセンジン
チビ	チビ
チャンコロ	チャンコロ
跛	ハ
ちんば	チンバ
チンコ	チンコ
ちんこ	チンコ
聾	ロウ
つんぼ	ツンボ
低開発国	テイカイハツクニ
低脳	テイノウ
出稼ぎ	デカセギ
丁稚	デッチ
出戻り	シュツモドリ
土方	ドカタ
特殊学級	トクシュガッキュウ
土建屋	ドケンヤ
土工	ツチコウ
土左衛門	ツチザエモン
屠殺	トサツ
どさ回り	ドサマワリ
土人	ドジン
吃	キツ
どもり	ドモリ
ドモリ	ドモリ
どん百姓	ドンヒャクショウ
南鮮	ミナミセン
ニガー	ニガー
ニグロ	ニグロ
人足	ニンソク
人非人	ニンピニン
人夫	ニンプ
馬鹿	バカ
バカ	バカ
ばか	バカ
白痴	ハクチ
パクる	パクル
馬喰	バクロウ
バタ屋	バタヤ
発狂	ハッキョウ
発狂する	ハッキョウスル
馬丁	バテイ
パン助	パンジョ
パンパン	パンパン
半島人	ハントウニン
飯場	ハンバ
跛	ハ
びっこ	ビッコ
非人	ヒニン
ヒモ	ヒモ
百姓	ヒャクショウ
日雇い	ヒヤトイ
貧農	ビンノウ
醜男	シュウオトコ
不可触民	フカショクタミ
不具	フグ
ブス	ブス
ブタ箱	ブタハコ
部落	ブラク
浮浪児	フロウジ
浮浪者	フロウシャ
ペイ患	ペイカン
ペイ中	ペイナカ
べちょこ	ベチョコ
北鮮	キタセン
ポコペン	ポコペン
ポリ公	ポリコウ
マンコ	マンコ
まんこ	マンコ
未開人	ミカイジン
未開発国	ミカイハツクニ
三つ口	ミッツクチ
未亡人	ミボウジン
妾	メカケ
めかけ	メカケ
盲	モウ
めくら	メクラ
蒙古症	モウコショウ
盲人	モウジン
盲目	モウモク
文盲	モンモウ
四つ足	ヨッツアシ
癩病	ライビョウ
老婆	ロウバ
労務者	ロウムシャ
露助	ツユジョ
ロン・パリ	ロン・パリ
ロンパリ	ロンパリ
さんりゅう魔導師	サンリュウマドウシ	
不審な	フシンナ
不審な点	フシンナテン
運営者	ウンエイシャ
法令	ホウレイ
運営者様	ウンエイシャサマ
運営側	ウンエイガワ
マンマ	マンマ
法的	ホウテキ
運営サイド	ウンエイサイド
ＡＢＵ	アブ
ABU	アブ
不審	フシン
不具合	フグアイ
苦言を呈する	クゲンヲテイスル
ＡＳＪ	エーエスジェー
ASJ	エーエスジェー
アドミラルシステム	アドミラルシステム	
アドミラル	アドミラル
コンプライアンス	コンプライアンス	
制裁	セイサイ
プロ野球チームをつくろう	プロヤキュウチームヲツクロウ	
法的	ホウテキ
成功率	セイコウリツ
クレーム	クレーム
悪意	アクイ
さっさか	サッサカ
訴訟	ソショウ
裁判	サイバン
脅迫	キョウハク
アダルトサイト	アダルトサイト
あっちぃ〜	アッチィ〜
不誠実	フセイジツ
隠蔽	インペイ
ＡＹＡＭＥ	アヤメ
AYAME	アヤメ
氏ね	シネ
乙	オツ
ノシ	ノシ
baka	バカ
